customer_id,customer_name,gender,age,city,state,customer_segment,registration_date,acquisition_channel
10001,Customer_10001,male,46,Mysuru,Karnataka,consumer,2022-01-10,social media
10002,Customer_10002,female,30,Faridabad,Haryana,consumer,2022-07-18,organic search
10003,Customer_10003,female,42,Kolkata,West Bengal,consumer,2023-12-12,paid ads
10004,Customer_10004,female,39,Surat,Gujarat,consumer,2023-02-11,paid ads
10005,Customer_10005,male,50,Nagpur,Maharashtra,consumer,2022-03-06,direct
10006,Customer_10006,male,54,Mumbai,Maharashtra,consumer,2024-01-27,paid ads
10007,Customer_10007,male,24,Mumbai,Maharashtra,consumer,2024-03-30,email
10008,Customer_10008,male,40,Bhopal,Madhya Pradesh,corporate,2024-11-27,organic search
10009,Customer_10009,female,23,Ahmedabad,Gujarat,consumer,2023-06-08,paid ads
10010,Customer_10010,female,32,Kolkata,West Bengal,consumer,2024-12-28,social media
10011,Customer_10011,female,32,Nagpur,Maharashtra,consumer,2024-04-14,direct
10012,Customer_10012,female,57,Amritsar,Punjab,consumer,2023-04-25,social media
10013,Customer_10013,male,51,Lucknow,Uttar Pradesh,consumer,2024-04-10,social media
10014,Customer_10014,male,31,Delhi,Delhi,consumer,2023-01-24,social media
10015,Customer_10015,male,46,Delhi,Delhi,consumer,2022-11-28,social media
10016,Customer_10016,female,33,New Delhi,Delhi,consumer,2024-09-26,social media
10017,Customer_10017,female,46,Bengaluru,Karnataka,consumer,2023-09-16,social media
10018,Customer_10018,male,40,Warangal,Telangana,consumer,2023-01-06,referral
10019,Customer_10019,male,27,Chennai,Tamil Nadu,consumer,2023-01-01,organic search
10020,Customer_10020,female,21,Mysuru,Karnataka,consumer,2022-05-31,referral
10021,Customer_10021,female,29,Ahmedabad,Gujarat,consumer,2024-07-29,referral
10022,Customer_10022,female,59,Mumbai,Maharashtra,consumer,2025-03-13,direct
10023,Customer_10023,male,51,Mysuru,Karnataka,home office,2023-12-08,email
10024,Customer_10024,male,21,Bengaluru,Karnataka,consumer,2022-05-03,social media
10025,Customer_10025,female,37,Coimbatore,Tamil Nadu,consumer,2024-08-23,paid ads
10026,Customer_10026,female,45,Noida,Uttar Pradesh,consumer,2022-01-03,paid ads
10027,Customer_10027,male,45,Delhi,Delhi,consumer,2023-10-13,organic search
10028,Customer_10028,female,23,Hyderabad,Telangana,home office,2022-01-24,social media
10029,Customer_10029,female,31,Surat,Gujarat,corporate,2022-08-12,organic search
10030,Customer_10030,male,52,Pune,Maharashtra,corporate,2025-04-13,organic search
10031,Customer_10031,male,18,Vadodara,Gujarat,home office,2025-11-04,social media
10032,Customer_10032,male,36,Delhi,Delhi,consumer,2023-05-16,paid ads
10033,Customer_10033,male,18,Pune,Maharashtra,consumer,2023-06-24,paid ads
10034,Customer_10034,female,30,Faridabad,Haryana,home office,2024-03-11,direct
10035,Customer_10035,male,25,Ludhiana,Punjab,consumer,2025-08-26,social media
10036,Customer_10036,female,35,Noida,Uttar Pradesh,home office,2024-01-24,social media
10037,Customer_10037,other,52,Mysuru,Karnataka,consumer,2025-05-05,organic search
10038,Customer_10038,male,40,Nagpur,Maharashtra,consumer,2025-04-24,paid ads
10039,Customer_10039,male,43,Kolkata,West Bengal,home office,2024-09-22,organic search
10040,Customer_10040,female,58,Chennai,Tamil Nadu,consumer,2024-02-16,direct
10041,Customer_10041,female,55,Nashik,Maharashtra,corporate,2025-08-04,social media
10042,Customer_10042,female,37,Warangal,Telangana,consumer,2022-09-03,referral
10043,Customer_10043,male,19,Pune,Maharashtra,corporate,2023-12-20,social media
10044,Customer_10044,male,43,Gurugram,Haryana,home office,2025-04-05,organic search
10045,Customer_10045,unknown,53,New Delhi,Delhi,consumer,2024-03-20,social media
10046,Customer_10046,female,42,Udaipur,Rajasthan,consumer,2024-01-03,social media
10047,Customer_10047,male,47,Bengaluru,Karnataka,consumer,2023-04-12,referral
10048,Customer_10048,female,35,Warangal,Telangana,home office,2024-08-26,referral
10049,Customer_10049,male,24,Surat,Gujarat,corporate,2025-12-17,organic search
10050,Customer_10050,other,44,New Delhi,Delhi,consumer,2024-02-24,organic search
10051,Customer_10051,female,28,Amritsar,Punjab,consumer,2023-11-19,direct
10052,Customer_10052,male,54,Lucknow,Uttar Pradesh,corporate,2022-03-30,social media
