order_id,payment_date,payment_status,payment_amount
200001,2025-02-04,paid,196926.2
200002,2025-04-23,paid,45585.69
200003,2025-04-11,paid,44897.03
200004,2025-05-30,failed,119763.75
200005,2025-12-11,refunded,188012.31
200006,2025-07-14,paid,104642.16
200007,2025-04-20,paid,44381.41
200008,2025-12-25,paid,47502.81
200009,2025-10-04,paid,87286.67
200010,2025-08-22,paid,27114.94
200011,2025-01-23,paid,389197.48
200012,2025-09-10,paid,61401.61
200013,2025-01-15,failed,70167.72
200014,2025-08-06,paid,44041.57
200015,2025-01-25,paid,27448.23
200016,2025-01-21,paid,29592.0
200017,2025-07-22,paid,103997.63
200018,2025-11-20,paid,123957.71
200019,2025-02-21,paid,67936.27
200020,2025-12-24,paid,74716.21
200021,2025-07-07,paid,77887.0
200022,2025-07-27,paid,211914.66
200023,2025-12-28,refunded,26136.77
200024,2025-04-07,paid,236302.07
200025,2025-12-16,paid,122655.9
200026,2025-09-25,paid,104532.96
200027,2025-11-25,paid,119745.63
200028,2025-01-18,paid,36391.38
200029,2025-06-27,paid,65425.62
200030,2025-08-08,paid,137018.0
200031,2025-01-13,paid,131676.7
200032,2025-01-19,paid,51101.07
200033,2025-03-09,paid,98837.67
200034,2025-10-05,paid,38795.88
200035,2025-11-15,paid,91310.83
200036,2025-10-21,paid,187398.11
200037,2025-01-18,paid,109866.56
200038,2025-11-25,paid,51109.54
200039,2025-04-24,paid,27919.34
200040,2025-10-29,paid,44991.08
200041,2025-06-10,paid,55051.52
200042,2025-04-17,paid,19233.31
200043,2025-10-09,paid,31804.05
200044,2025-03-27,paid,11158.53
200045,2025-04-06,paid,146531.26
200046,2025-06-23,paid,39166.32
200047,2025-09-02,paid,1338.07
200048,2025-09-22,paid,103055.97
200049,2025-10-24,paid,64464.12
200050,2025-10-11,paid,320694.02
200051,2025-05-29,refunded,20162.84
200052,2025-01-03,paid,69868.8
200053,2025-03-11,paid,36005.03
200054,2025-03-10,paid,179336.2
200055,2025-02-18,paid,45776.18
200056,2025-12-22,paid,45785.75
200057,2025-03-07,paid,150112.72
200058,2025-03-24,paid,42544.8
200059,2025-09-13,paid,66845.56
200060,2025-08-26,refunded,4490.49
200061,2025-11-25,paid,18689.28
200062,2025-05-22,paid,105861.92
200063,2025-09-23,paid,202334.02
200064,2025-11-15,paid,55184.86
200065,2025-06-03,paid,380563.66
200066,2025-05-12,paid,118408.8
200067,2025-08-14,paid,80195.73
200068,2025-04-04,paid,93174.96
200069,2025-04-30,refunded,127609.97
200070,2025-05-09,paid,62208.66
200071,2025-08-16,paid,32710.73
200072,2025-12-08,paid,57019.3
200073,2025-06-28,failed,113032.85
200074,2025-03-29,paid,31948.2
200075,2025-06-13,paid,279085.88
200076,2025-08-21,paid,47913.98
200077,2025-07-28,paid,8035.61
200078,2025-04-15,paid,33678.62
200079,2025-04-26,paid,150001.42
200080,2025-07-08,paid,58467.83
200081,2025-09-29,paid,116061.95
200082,2025-02-21,paid,56675.14
200083,2025-11-04,paid,60728.55
