order_id,payment_date,payment_status,payment_amount
200001,2025-02-04,Paid,196926.2
200002,2025-04-23,Paid,45585.69
200003,2025-04-11,Paid,44897.03
200004,2025-05-30,Failed,119763.75
200005,2025-12-11,Refunded,188012.31
200006,2025-07-14,Paid,104642.16
200007,2025-04-20,Paid,44381.41
200008,2025-12-25,Paid,47502.81
200009,2025-10-04,Paid,87286.67
200010,2025-08-22,Paid,27114.94
200011,2025-01-23,Paid,389197.48
200012,2025-09-10,Paid,61401.61
200013,2025-01-15,Failed,70167.72
200014,2025-08-06,Paid,44041.57
200015,2025-01-25,Paid,27448.23
200016,2025-01-21,Paid,29592.0
200017,2025-07-22,Paid,103997.63
200018,2025-11-20,Paid,123957.71
200019,2025-02-21,Paid,67936.27
200020,2025-12-24,Paid,74716.21
200021,2025-07-07,Paid,77887.0
200022,2025-07-27,Paid,211914.66
200023,2025-12-28,Refunded,26136.77
200024,2025-04-07,Paid,236302.07
200025,2025-12-16,Paid,122655.9
200026,2025-09-25,Paid,104532.96
200027,2025-11-25,Paid,119745.63
200028,2025-01-18,Paid,36391.38
200029,2025-06-27,Paid,65425.62
200030,2025-08-08,Paid,137018.0
200031,2025-01-13,Paid,131676.7
200032,2025-01-19,Paid,51101.07
200033,2025-03-09,Paid,98837.67
200034,2025-10-05,Paid,38795.88
200035,2025-11-15,Paid,91310.83
200036,2025-10-21,Paid,187398.11
200037,2025-01-18,Paid,109866.56
200038,2025-11-25,Paid,51109.54
200039,2025-04-24,Paid,27919.34
200040,2025-10-29,Paid,44991.08
200041,2025-06-10,Paid,55051.52
200042,2025-04-17,Paid,19233.31
200043,2025-10-09,Paid,31804.05
200044,2025-03-27,Paid,11158.53
200045,2025-04-06,Paid,146531.26
200046,2025-06-23,Paid,39166.32
200047,2025-09-02,Paid,1338.07
200048,2025-09-22,Paid,103055.97
200049,2025-10-24,Paid,64464.12
200050,2025-10-11,Paid,320694.02
200051,2025-05-29,Refunded,20162.84
200052,2025-01-03,Paid,69868.8
200053,2025-03-11,Paid,36005.03
200054,2025-03-10,Paid,179336.2
200055,2025-02-18,Paid,45776.18
200056,2025-12-22,Paid,45785.75
200057,2025-03-07,Paid,150112.72
200058,2025-03-24,Paid,42544.8
200059,2025-09-13,Paid,66845.56
200060,2025-08-26,Refunded,4490.49
200061,2025-11-25,Paid,18689.28
200062,2025-05-22,Paid,105861.92
200063,2025-09-23,Paid,202334.02
200064,2025-11-15,Paid,55184.86
200065,2025-06-03,Paid,380563.66
200066,2025-05-12,Paid,118408.8
200067,2025-08-14,Paid,80195.73
200068,2025-04-04,Paid,93174.96
200069,2025-04-30,Refunded,127609.97
200070,2025-05-09,Paid,62208.66
200071,2025-08-16,Paid,32710.73
200072,2025-12-08,Paid,57019.3
200073,2025-06-28,Failed,113032.85
200074,2025-03-29,Paid,31948.2
200075,2025-06-13,Paid,279085.88
200076,2025-08-21,Paid,47913.98
200077,2025-07-28,Paid,8035.61
200078,2025-04-15,Paid,33678.62
