customer_id,customer_name,gender,age,city,state,customer_segment,registration_date,acquisition_channel
10001,Customer_10001,Male,46,Mysuru,Karnataka,Consumer,2022-01-10,Social Media
10002,Customer_10002,Female,30,Faridabad,Haryana,Consumer,2022-07-18,Organic Search
10003,Customer_10003,Female,42,Kolkata,West Bengal,Consumer,2023-12-12,Paid Ads
10004,Customer_10004,Female,39,Surat,Gujarat,Consumer,2023-02-11,Paid Ads
10005,Customer_10005,Male,50,Nagpur,Maharashtra,Consumer,2022-03-06,Direct
10006,Customer_10006,Male,54,Mumbai,Maharashtra,Consumer,2024-01-27,Paid Ads
10007,Customer_10007,Male,24,Mumbai,Maharashtra,Consumer,2024-03-30,Email
10008,Customer_10008,Male,40,Bhopal,Madhya Pradesh,Corporate,2024-11-27,Organic Search
10009,Customer_10009,Female,23,Ahmedabad,Gujarat,Consumer,2023-06-08,Paid Ads
10010,Customer_10010,Female,32,Kolkata,West Bengal,Consumer,2024-12-28,Social Media
10011,Customer_10011,Female,32,Nagpur,Maharashtra,Consumer,2024-04-14,Direct
10012,Customer_10012,Female,57,Amritsar,Punjab,Consumer,2023-04-25,Social Media
10013,Customer_10013,Male,51,Lucknow,Uttar Pradesh,Consumer,2024-04-10,Social Media
10014,Customer_10014,Male,31,Delhi,Delhi,Consumer,2023-01-24,Social Media
10015,Customer_10015,Male,46,Delhi,Delhi,Consumer,2022-11-28,Social Media
10016,Customer_10016,Female,33,New Delhi,Delhi,Consumer,2024-09-26,Social Media
10017,Customer_10017,Female,46,Bengaluru,Karnataka,Consumer,2023-09-16,Social Media
10018,Customer_10018,Male,40,Warangal,Telangana,Consumer,2023-01-06,Referral
10019,Customer_10019,Male,27,Chennai,Tamil Nadu,Consumer,2023-01-01,Organic Search
10020,Customer_10020,Female,21,Mysuru,Karnataka,Consumer,2022-05-31,Referral
10021,Customer_10021,Female,29,Ahmedabad,Gujarat,Consumer,2024-07-29,Referral
10022,Customer_10022,Female,59,Mumbai,Maharashtra,Consumer,2025-03-13,Direct
10023,Customer_10023,Male,51,Mysuru,Karnataka,Home Office,2023-12-08,Email
10024,Customer_10024,Male,21,Bengaluru,Karnataka,Consumer,2022-05-03,Social Media
10025,Customer_10025,Female,37,Coimbatore,Tamil Nadu,Consumer,2024-08-23,Paid Ads
10026,Customer_10026,Female,45,Noida,Uttar Pradesh,Consumer,2022-01-03,Paid Ads
10027,Customer_10027,Male,45,Delhi,Delhi,Consumer,2023-10-13,Organic Search
10028,Customer_10028,Female,23,Hyderabad,Telangana,Home Office,2022-01-24,Social Media
10029,Customer_10029,Female,31,Surat,Gujarat,Corporate,2022-08-12,Organic Search
10030,Customer_10030,Male,52,Pune,Maharashtra,Corporate,2025-04-13,Organic Search
10031,Customer_10031,Male,18,Vadodara,Gujarat,Home Office,2025-11-04,Social Media
10032,Customer_10032,Male,36,Delhi,Delhi,Consumer,2023-05-16,Paid Ads
10033,Customer_10033,Male,18,Pune,Maharashtra,Consumer,2023-06-24,Paid Ads
10034,Customer_10034,Female,30,Faridabad,Haryana,Home Office,2024-03-11,Direct
10035,Customer_10035,Male,25,Ludhiana,Punjab,Consumer,2025-08-26,Social Media
10036,Customer_10036,Female,35,Noida,Uttar Pradesh,Home Office,2024-01-24,Social Media
10037,Customer_10037,Other,52,Mysuru,Karnataka,Consumer,2025-05-05,Organic Search
10038,Customer_10038,Male,40,Nagpur,Maharashtra,Consumer,2025-04-24,Paid Ads
10039,Customer_10039,Male,43,Kolkata,West Bengal,Home Office,2024-09-22,Organic Search
10040,Customer_10040,Female,58,Chennai,Tamil Nadu,Consumer,2024-02-16,Direct
10041,Customer_10041,Female,55,Nashik,Maharashtra,Corporate,2025-08-04,Social Media
10042,Customer_10042,Female,37,Warangal,Telangana,Consumer,2022-09-03,Referral
10043,Customer_10043,Male,19,Pune,Maharashtra,Corporate,2023-12-20,Social Media
10044,Customer_10044,Male,43,Gurugram,Haryana,Home Office,2025-04-05,Organic Search
10045,Customer_10045,,53,New Delhi,Delhi,Consumer,2024-03-20,Social Media
10046,Customer_10046,Female,42,Udaipur,Rajasthan,Consumer,2024-01-03,Social Media
10047,Customer_10047,Male,47,Bengaluru,Karnataka,Consumer,2023-04-12,Referral
10048,Customer_10048,Female,35,Warangal,Telangana,Home Office,2024-08-26,Referral
