order_item_id,order_id,product_id,quantity,unit_price,discount
1000001,200001,5017,2,17797.82,0.15
1000002,200001,5184,1,39169.08,0.15
1000003,200001,5086,1,24264.53,0.2
1000004,200001,5161,2,67037.98,0.15
1000005,200002,5081,3,15994.98,0.05
1000006,200003,5190,1,42358.86,0.2
1000007,200003,5217,1,9572.79,0.1
1000008,200003,5066,2,1408.49,0.15
1000009,200004,5056,1,4737.33,0.05
1000010,200004,5199,1,1784.57,0.1
1000011,200004,5191,3,28565.45,0.0
1000012,200004,5075,1,31067.58,0.1
1000013,200005,5177,1,11970.85,0.0
1000014,200005,5123,1,43855.11,0.1
1000015,200005,5145,3,50582.17,0.1
1000016,200006,5031,1,59374.12,0.15
1000017,200006,5208,1,53343.72,0.1
1000018,200006,5079,1,6489.27,0.05
1000019,200007,5176,1,14371.6,0.05
1000020,200007,5247,1,32345.67,0.05
1000021,200008,5218,1,52780.9,0.1
1000022,200009,5004,1,29418.25,0.3
1000023,200009,5138,1,50048.21,0.0
1000024,200009,5144,1,19583.16,0.15
1000025,200010,5061,1,30127.71,0.1
1000026,200011,5100,1,5944.8,0.0
1000027,200011,5003,3,75259.02,0.05
1000028,200011,5021,3,64016.09,0.2
1000029,200011,5167,4,4726.83,0.2
1000030,200012,5112,1,21588.83,0.15
1000031,200012,5234,1,50648.36,0.15
1000032,200013,5094,2,50119.8,0.3
1000033,200014,5114,1,10929.13,0.15
1000034,200014,5237,2,14486.85,0.05
1000035,200014,5087,1,7226.79,0.0
1000036,200015,5146,1,27448.23,0.0
1000037,200016,5041,1,31149.47,0.05
1000038,200017,5204,1,42499.16,0.0
1000039,200017,5187,1,55244.46,0.1
1000040,200017,5077,1,12398.37,0.05
1000041,200018,5120,3,48788.44,0.2
1000042,200018,5087,1,7226.79,0.05
1000043,200019,5008,2,35755.93,0.05
1000044,200020,5197,2,28049.13,0.2
1000045,200020,5174,1,33152.89,0.1
1000046,200021,5157,2,45815.88,0.15
1000047,200022,5111,3,78486.91,0.1
1000048,200023,5122,2,14520.43,0.1
1000049,200024,5021,3,64016.09,0.0
1000050,200024,5248,1,44253.8,0.0
1000051,200025,5208,2,53343.72,0.15
1000052,200025,5222,1,35523.97,0.1
1000053,200026,5160,1,11630.6,0.1
1000054,200026,5019,1,53865.59,0.1
1000055,200026,5233,1,56982.98,0.2
1000056,200027,5211,3,39915.21,0.0
1000057,200028,5057,1,38306.72,0.05
1000058,200029,5149,1,68869.07,0.05
1000059,200030,5139,1,32826.93,0.15
1000060,200030,5089,2,36951.82,0.1
1000061,200030,5094,1,50119.8,0.15
1000062,200031,5105,1,76837.69,0.05
1000063,200031,5224,1,34512.87,0.15
1000064,200031,5016,1,36681.19,0.2
1000065,200032,5143,1,50546.12,0.15
1000066,200032,5217,1,9572.79,0.15
1000067,200033,5231,2,38431.27,0.3
1000068,200033,5039,1,50037.66,0.1
1000069,200034,5005,1,17668.54,0.05
1000070,200034,5117,1,23169.23,0.05
1000071,200035,5219,1,18158.38,0.0
1000072,200035,5124,2,40640.25,0.1
1000073,200036,5040,3,25999.86,0.05
1000074,200036,5147,1,51457.87,0.0
1000075,200036,5214,1,72753.69,0.15
1000076,200037,5102,2,27858.4,0.1
1000077,200037,5093,2,14025.22,0.1
1000078,200037,5057,1,38306.72,0.1
1000079,200038,5126,1,60128.87,0.15
1000080,200039,5096,1,34899.18,0.2
1000081,200040,5144,2,19583.16,0.15
1000082,200040,5095,1,14624.64,0.2
1000083,200041,5112,3,21588.83,0.15
1000084,200042,5159,1,21370.34,0.1
1000085,200043,5189,1,3168.17,0.15
1000086,200043,5247,1,32345.67,0.1
1000087,200044,5077,1,12398.37,0.1
1000088,200045,5124,3,40640.25,0.05
1000089,200045,5215,1,32322.68,0.05
1000090,200046,5144,2,19583.16,0.0
1000091,200047,5066,1,1408.49,0.05
1000092,200048,5089,3,36951.82,0.2
1000093,200048,5176,1,14371.6,0.0
1000094,200049,5181,2,37920.07,0.15
1000095,200050,5182,1,44393.68,0.1
1000096,200050,5128,4,73878.87,0.05
1000097,200051,5196,1,21224.04,0.05
1000098,200052,5040,1,25999.86,0.0
1000099,200052,5241,1,62669.92,0.3
1000100,200053,5190,1,42358.86,0.15
1000101,200054,5166,3,59235.66,0.15
1000102,200054,5081,1,15994.98,0.1
1000103,200054,5212,3,4629.93,0.0
1000104,200055,5092,1,48185.45,0.05
1000105,200056,5019,1,53865.59,0.15
1000106,200057,5139,1,32826.93,0.05
1000107,200057,5148,2,7089.4,0.05
1000108,200057,5170,1,55818.22,0.15
1000109,200057,5029,1,68249.17,0.15
1000110,200058,5225,1,44784.0,0.05
1000111,200059,5141,1,63027.8,0.1
1000112,200059,5228,1,11245.05,0.1
1000113,200060,5167,1,4726.83,0.05
1000114,200061,5085,1,18689.28,0.0
1000115,200062,5102,4,27858.4,0.05
1000116,200063,5248,1,44253.8,0.0
1000117,200063,5048,2,30119.24,0.3
1000118,200063,5152,2,39798.26,0.0
1000119,200063,5219,2,18158.38,0.0
1000120,200064,5015,1,55259.57,0.3
1000121,200064,5028,1,18336.84,0.1
1000122,200065,5145,2,50582.17,0.1
1000123,200065,5029,3,68249.17,0.05
1000124,200065,5218,2,52780.9,0.1
1000125,200066,5123,3,43855.11,0.1
1000126,200067,5154,1,40723.49,0.0
1000127,200067,5158,1,49340.3,0.2
1000128,200068,5210,1,33636.27,0.1
1000129,200068,5011,1,62902.32,0.0
1000130,200069,5168,2,49827.72,0.1
1000131,200069,5181,1,37920.07,0.0
1000132,200070,5004,1,29418.25,0.1
1000133,200070,5221,1,37612.88,0.05
1000134,200071,5167,1,4726.83,0.05
1000135,200071,5213,1,33200.28,0.15
1000136,200072,5023,1,57019.3,0.0
1000137,200073,5171,1,52643.32,0.1
1000138,200073,5139,2,32826.93,0.0
1000139,200074,5018,1,31948.2,0.0
1000140,200075,5031,1,59374.12,0.05
1000141,200075,5207,2,24287.8,0.1
