product_id,product_name,category,sub_category,brand,cost_price,selling_price,stock_quantity,rating
5001,TechOne Mobiles_5001,Electronics,Mobiles,TechOne,5177.51,7130.66,235,3.8
5002,UrbanX Mobiles_5002,Electronics,Mobiles,UrbanX,27068.27,38998.44,51,4.2
5003,Prime Mobiles_5003,Electronics,Mobiles,Prime,46840.39,75259.02,72,3.2
5004,Nova Mobiles_5004,Electronics,Mobiles,Nova,23626.14,29418.25,166,4.3
5005,UrbanX Mobiles_5005,Electronics,Mobiles,UrbanX,13682.38,17668.54,44,3.8
5006,Prime Mobiles_5006,Electronics,Mobiles,Prime,8904.19,14350.97,151,5.0
5007,Vertex Mobiles_5007,Electronics,Mobiles,Vertex,39266.55,47064.17,27,4.6
5008,Vertex Mobiles_5008,Electronics,Mobiles,Vertex,24023.48,35755.93,16,3.7
5009,Prime Mobiles_5009,Electronics,Mobiles,Prime,17915.93,26525.92,119,4.9
5010,Elora Mobiles_5010,Electronics,Mobiles,Elora,44444.51,60450.29,70,3.7
5011,Apex Mobiles_5011,Electronics,Mobiles,Apex,44929.03,62902.32,83,3.4
5012,TechOne Mobiles_5012,Electronics,Mobiles,TechOne,6648.89,10517.29,96,3.2
5013,Nova Mobiles_5013,Electronics,Mobiles,Nova,45361.52,57044.0,73,4.6
5014,UrbanX Mobiles_5014,Electronics,Mobiles,UrbanX,6056.96,7806.43,134,3.8
5015,Nova Laptops_5015,Electronics,Laptops,Nova,38893.15,55259.57,29,5.0
5016,Elora Laptops_5016,Electronics,Laptops,Elora,26724.26,36681.19,91,4.3
5017,Apex Laptops_5017,Electronics,Laptops,Apex,12274.74,17797.82,130,3.5
5018,TechOne Laptops_5018,Electronics,Laptops,TechOne,19809.22,31948.2,39,3.8
5019,Nova Laptops_5019,Electronics,Laptops,Nova,33435.33,53865.59,99,4.1
5020,Nova Laptops_5020,Electronics,Laptops,Nova,34311.38,44196.78,95,4.5
5021,TechOne Laptops_5021,Electronics,Laptops,TechOne,48423.38,64016.09,53,4.3
5022,Nova Laptops_5022,Electronics,Laptops,Nova,42386.32,53244.52,48,3.7
5023,Prime Laptops_5023,Electronics,Laptops,Prime,35282.88,57019.3,63,4.1
5024,UrbanX Laptops_5024,Electronics,Laptops,UrbanX,45817.38,62632.18,67,3.6
5025,Prime Laptops_5025,Electronics,Laptops,Prime,4651.48,6471.89,121,3.8
5026,UrbanX Laptops_5026,Electronics,Laptops,UrbanX,49912.09,77725.16,64,3.7
5027,Apex Laptops_5027,Electronics,Laptops,Apex,43404.64,61682.23,73,4.8
5028,Vertex Laptops_5028,Electronics,Laptops,Vertex,14832.21,18336.84,92,4.6
5029,Prime Audio_5029,Electronics,Audio,Prime,49249.33,68249.17,40,4.2
5030,Zenith Audio_5030,Electronics,Audio,Zenith,12189.19,17995.47,183,3.5
5031,Elora Audio_5031,Electronics,Audio,Elora,39112.66,59374.12,76,4.3
5032,UrbanX Audio_5032,Electronics,Audio,UrbanX,47674.78,70716.73,66,3.8
5033,Prime Audio_5033,Electronics,Audio,Prime,30933.24,38233.95,76,3.3
5034,Apex Audio_5034,Electronics,Audio,Apex,14761.49,19530.07,75,4.4
5035,TechOne Audio_5035,Electronics,Audio,TechOne,14298.44,21801.91,48,3.7
5036,Nova Audio_5036,Electronics,Audio,Nova,21150.02,33706.56,56,3.6
5037,Vertex Audio_5037,Electronics,Audio,Vertex,11751.89,14127.86,96,4.4
5038,Elora Audio_5038,Electronics,Audio,Elora,3936.13,4722.76,233,4.8
5039,Zenith Audio_5039,Electronics,Audio,Zenith,33754.49,50037.66,83,3.7
5040,TechOne Audio_5040,Electronics,Audio,TechOne,18085.83,25999.86,83,4.6
5041,Vertex Audio_5041,Electronics,Audio,Vertex,24859.73,31149.47,41,4.8
5042,Zenith Audio_5042,Electronics,Audio,Zenith,47210.76,67874.77,17,3.6
5043,Vertex Accessories_5043,Electronics,Accessories,Vertex,21187.89,34705.96,59,4.9
5044,Prime Accessories_5044,Electronics,Accessories,Prime,8641.31,12759.09,107,3.7
5045,TechOne Accessories_5045,Electronics,Accessories,TechOne,44278.46,61595.6,51,3.6
5046,Prime Accessories_5046,Electronics,Accessories,Prime,20954.35,32876.12,28,3.8
5047,Zenith Accessories_5047,Electronics,Accessories,Zenith,6793.25,8695.54,82,3.6
5048,Vertex Accessories_5048,Electronics,Accessories,Vertex,21909.15,30119.24,76,4.2
5049,Zenith Accessories_5049,Electronics,Accessories,Zenith,2381.29,3400.6,208,4.1
5050,Zenith Accessories_5050,Electronics,Accessories,Zenith,39777.04,56369.39,28,4.4
5051,Elora Accessories_5051,Electronics,Accessories,Elora,3419.52,5515.2,163,4.5
5052,UrbanX Accessories_5052,Electronics,Accessories,UrbanX,22916.41,30193.61,62,3.3
5053,TechOne Accessories_5053,Electronics,Accessories,TechOne,9028.81,10893.77,165,3.5
5054,UrbanX Accessories_5054,Electronics,Accessories,UrbanX,2727.46,4393.11,159,4.6
5055,Zenith Accessories_5055,Electronics,Accessories,Zenith,41262.88,52899.91,19,3.3
5056,Prime Accessories_5056,Electronics,Accessories,Prime,3488.09,4737.33,127,4.4
5057,Zenith Men_Clothing_5057,Fashion,Men Clothing,Zenith,26796.93,38306.72,96,4.4
5058,Vertex Men_Clothing_5058,Fashion,Men Clothing,Vertex,36209.05,59334.46,29,4.5
5059,Prime Men_Clothing_5059,Fashion,Men Clothing,Prime,41964.13,60074.85,65,3.6
5060,Apex Men_Clothing_5060,Fashion,Men Clothing,Apex,24327.4,33825.77,82,3.5
5061,TechOne Men_Clothing_5061,Fashion,Men Clothing,TechOne,20716.15,30127.71,67,4.0
5062,Nova Men_Clothing_5062,Fashion,Men Clothing,Nova,229.62,375.72,155,3.3
5063,Nova Men_Clothing_5063,Fashion,Men Clothing,Nova,9191.9,14380.12,185,4.7
5064,Zenith Men_Clothing_5064,Fashion,Men Clothing,Zenith,850.87,1071.6,114,4.5
5065,Vertex Men_Clothing_5065,Fashion,Men Clothing,Vertex,28722.21,44735.77,63,4.8
5066,Nova Men_Clothing_5066,Fashion,Men Clothing,Nova,894.1,1408.49,200,3.3
5067,Elora Men_Clothing_5067,Fashion,Men Clothing,Elora,4428.97,6663.94,110,4.9
5068,Prime Men_Clothing_5068,Fashion,Men Clothing,Prime,2154.73,3208.18,247,4.6
5069,Prime Men_Clothing_5069,Fashion,Men Clothing,Prime,43932.31,60943.44,22,3.4
5070,Prime Women_Clothing_5070,Fashion,Women Clothing,Prime,20587.45,30502.3,87,3.4
5071,Vertex Women_Clothing_5071,Fashion,Women Clothing,Vertex,659.06,1006.16,240,4.8
5072,Elora Women_Clothing_5072,Fashion,Women Clothing,Elora,38928.96,48183.37,54,4.0
5073,TechOne Women_Clothing_5073,Fashion,Women Clothing,TechOne,14542.19,18918.59,156,5.0
5074,Vertex Women_Clothing_5074,Fashion,Women Clothing,Vertex,44141.84,56113.92,73,4.3
5075,Vertex Women_Clothing_5075,Fashion,Women Clothing,Vertex,19720.82,31067.58,91,4.4
5076,Elora Women_Clothing_5076,Fashion,Women Clothing,Elora,28161.93,42231.66,40,4.0
5077,UrbanX Women_Clothing_5077,Fashion,Women Clothing,UrbanX,8907.73,12398.37,114,4.0
5078,TechOne Women_Clothing_5078,Fashion,Women Clothing,TechOne,22089.17,34641.26,73,4.6
5079,UrbanX Women_Clothing_5079,Fashion,Women Clothing,UrbanX,4278.02,6489.27,278,4.0
5080,TechOne Women_Clothing_5080,Fashion,Women Clothing,TechOne,32629.16,52513.0,61,4.1
5081,Apex Women_Clothing_5081,Fashion,Women Clothing,Apex,13152.69,15994.98,74,3.9
5082,Elora Women_Clothing_5082,Fashion,Women Clothing,Elora,32696.09,46405.69,98,3.6
5083,Elora Footwear_5083,Fashion,Footwear,Elora,46554.19,70397.92,21,4.7
5084,Prime Footwear_5084,Fashion,Footwear,Prime,48223.76,61606.9,68,3.6
5085,Prime Footwear_5085,Fashion,Footwear,Prime,14012.59,18689.28,115,3.7
5086,Vertex Footwear_5086,Fashion,Footwear,Vertex,17622.34,24264.53,62,4.3
5087,Apex Footwear_5087,Fashion,Footwear,Apex,4652.44,7226.79,115,3.8
5088,Vertex Footwear_5088,Fashion,Footwear,Vertex,15013.65,21198.99,89,3.8
5089,Vertex Footwear_5089,Fashion,Footwear,Vertex,26176.35,36951.82,57,3.2
5090,Vertex Footwear_5090,Fashion,Footwear,Vertex,40663.46,56217.93,42,4.6
5091,TechOne Footwear_5091,Fashion,Footwear,TechOne,19953.63,25689.04,41,4.1
5092,Prime Footwear_5092,Fashion,Footwear,Prime,29857.57,48185.45,91,3.6
5093,UrbanX Footwear_5093,Fashion,Footwear,UrbanX,10550.3,14025.22,119,4.5
5094,Zenith Footwear_5094,Fashion,Footwear,Zenith,34644.01,50119.8,48,4.4
5095,Prime Footwear_5095,Fashion,Footwear,Prime,11700.4,14624.64,193,3.9
5096,Apex Bags_5096,Fashion,Bags,Apex,25214.45,34899.18,86,4.2
5097,Elora Bags_5097,Fashion,Bags,Elora,27899.8,44773.25,98,4.4
5098,Apex Bags_5098,Fashion,Bags,Apex,34084.14,56166.19,88,3.3
5099,TechOne Bags_5099,Fashion,Bags,TechOne,17877.26,24134.72,192,4.0
5100,Vertex Bags_5100,Fashion,Bags,Vertex,4746.82,5944.8,215,4.1
5101,Nova Bags_5101,Fashion,Bags,Nova,25311.83,33608.85,67,4.5
5102,Prime Bags_5102,Fashion,Bags,Prime,20886.43,27858.4,131,3.9
