return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount
900001,200013,5094.0,2025-02-01,Late Delivery,2,70167.72
900002,200040,5095.0,2025-11-18,Size/Fit Issue,1,11699.71
900003,200073,5171.0,2025-07-12,Damaged,2,47378.99
900004,200086,5085.0,2025-02-28,Wrong Item,2,18689.28
900005,200091,5136.0,2026-01-01,Wrong Item,2,95004.97
900006,200100,5176.0,2025-04-28,Quality Issue,1,12215.86
900007,200135,5057.0,2025-08-09,Size/Fit Issue,1,32560.71
900008,200173,5090.0,2025-03-24,Size/Fit Issue,2,44974.34
900009,200195,5164.0,2025-11-10,Changed Mind,1,45382.29
900010,200216,5114.0,2025-01-22,Size/Fit Issue,1,9836.22
900011,200268,5186.0,2025-08-29,Quality Issue,1,16700.06
900012,200276,5247.0,2025-11-23,Damaged,1,30728.39
900013,200283,5161.0,2025-05-10,Late Delivery,1,60334.18
900014,200300,5075.0,2025-06-16,Wrong Item,1,31067.58
900015,200301,5047.0,2025-05-26,Size/Fit Issue,2,8260.76
900016,200312,5142.0,2025-11-07,Quality Issue,1,38210.29
900017,200341,5103.0,2025-11-10,Changed Mind,1,58567.86
900018,200351,5023.0,2025-09-26,Quality Issue,1,48466.4
900019,200367,5081.0,2025-07-11,Damaged,1,11196.49
900020,200393,5242.0,2025-10-06,Changed Mind,1,39405.82
900021,200398,5053.0,2025-10-22,Quality Issue,1,9804.39
900022,200441,5057.0,2025-01-12,Late Delivery,1,36391.38
900023,200480,5184.0,2025-10-03,Wrong Item,2,74421.25
900024,200509,5097.0,2025-05-28,Damaged,1,35818.6
900025,200513,5247.0,2025-11-26,Damaged,2,58222.21
900026,200529,5065.0,2025-05-25,Quality Issue,1,44735.77
900027,200541,5187.0,2025-07-14,Late Delivery,2,46957.79
900028,200576,5165.0,2025-11-29,Damaged,2,54730.18
900029,200586,5201.0,2025-06-08,Quality Issue,2,78473.77
900030,200587,5019.0,2025-03-10,Quality Issue,2,102344.62
900031,200617,5212.0,2025-06-08,Size/Fit Issue,1,3935.44
900032,200637,5231.0,2025-10-20,Size/Fit Issue,2,34588.14
900033,200646,5060.0,2025-07-04,Size/Fit Issue,1,32134.48
900034,200649,5137.0,2025-07-09,Changed Mind,1,11109.2
900035,200654,5058.0,2025-03-11,Size/Fit Issue,2,50434.29
900036,200657,5086.0,2025-08-23,Changed Mind,2,48529.06
900037,200691,5099.0,2025-01-26,Size/Fit Issue,2,22927.98
900038,200694,5021.0,2025-12-09,Size/Fit Issue,2,57614.48
900039,200709,5020.0,2025-04-17,Wrong Item,1,44196.78
900040,200730,5075.0,2025-11-01,Damaged,1,29514.2
900041,200737,5013.0,2025-07-25,Quality Issue,2,54191.8
900042,200739,5035.0,2025-10-16,Late Delivery,2,21801.91
900043,200745,5125.0,2025-11-22,Quality Issue,1,6540.45
900044,200754,5199.0,2025-04-21,Size/Fit Issue,2,1695.34
900045,200764,5065.0,2025-02-13,Damaged,1,42498.98
900046,200770,5161.0,2025-09-25,Wrong Item,2,60334.18
900047,200785,5199.0,2025-08-29,Damaged,1,1516.88
900048,200786,5220.0,2025-12-07,Changed Mind,2,30754.47
900049,200788,5080.0,2025-11-14,Changed Mind,2,105026.0
900050,200861,5029.0,2025-06-28,Size/Fit Issue,2,95548.84
900051,200868,5170.0,2025-05-09,Damaged,2,47445.49
900052,200874,5083.0,2025-09-21,Changed Mind,2,56318.34
900053,200891,5116.0,2026-01-16,Quality Issue,2,31943.24
900054,200903,5101.0,2025-11-02,Damaged,1,30247.97
900055,200955,5151.0,2025-05-11,Size/Fit Issue,2,41695.39
900056,200957,5245.0,2025-10-26,Damaged,1,6706.77
900057,200964,5136.0,2025-11-07,Damaged,2,95004.97
900058,200981,5201.0,2025-04-21,Size/Fit Issue,2,83089.87
900059,200982,5195.0,2025-10-30,Changed Mind,2,111471.16
900060,201001,5160.0,2025-08-21,Wrong Item,2,23261.2
900061,201031,5237.0,2025-10-15,Size/Fit Issue,2,10140.8
900062,201035,5191.0,2025-04-22,Changed Mind,1,25708.91
900063,201041,5077.0,2025-07-01,Changed Mind,2,11158.53
900064,201047,5075.0,2025-03-12,Damaged,1,29514.2
900065,201049,5052.0,2025-09-19,Damaged,1,25664.57
900066,201066,5044.0,2025-03-02,Wrong Item,2,22966.36
900067,201070,5193.0,2025-04-18,Quality Issue,1,40300.37
900068,201092,5047.0,2025-06-09,Late Delivery,2,7391.21
900069,201096,5089.0,2025-09-30,Size/Fit Issue,1,31409.05
900070,201100,5162.0,2025-10-01,Quality Issue,1,13399.92
900071,201107,5047.0,2026-01-02,Quality Issue,1,7825.99
900072,201179,5037.0,2025-10-11,Size/Fit Issue,1,14127.86
900073,201187,5172.0,2025-02-05,Wrong Item,1,3391.58
900074,201191,5124.0,2025-03-04,Changed Mind,2,65024.4
900075,201288,5018.0,2025-11-11,Late Delivery,2,28753.38
900076,201297,5067.0,2025-12-06,Size/Fit Issue,2,10662.3
900077,201304,5206.0,2025-02-20,Late Delivery,1,49697.66
900078,201314,5215.0,2025-05-19,Wrong Item,2,32322.68
900079,201338,5064.0,2025-07-17,Size/Fit Issue,1,857.28
900080,201342,5153.0,2025-05-10,Damaged,1,46627.71
900081,201346,5239.0,2025-12-03,Quality Issue,1,35580.1
900082,201353,5186.0,2025-12-18,Size/Fit Issue,1,14844.5
900083,201355,5141.0,2025-12-06,Quality Issue,1,63027.8
900084,201374,5175.0,2025-09-06,Size/Fit Issue,2,37820.94
